quarter,dong_code,industry_code,dong_name,industry_name,store_count,open_count,close_count,closure_rate,franchise_count
20242,11440585,CS100010,도화동,커피-음료,37,2,1,2.0,26
20242,11440585,CS100001,도화동,한식음식점,158,11,8,5.0,17
20242,11440585,CS100002,도화동,중식음식점,18,0,0,0.0,4
20242,11440585,CS100003,도화동,일식음식점,17,1,0,0.0,6
20242,11440585,CS100004,도화동,양식음식점,19,1,0,0.0,2
20242,11440585,CS100005,도화동,제과점,14,1,0,0.0,9
20242,11440585,CS100006,도화동,패스트푸드점,6,0,1,7.0,8
20242,11440585,CS100007,도화동,치킨전문점,7,1,2,12.0,10
20242,11440585,CS100009,도화동,호프-간이주점,66,4,4,5.0,13
20242,11440590,CS100009,용강동,호프-간이주점,54,1,3,5.0,7
20242,11440590,CS100001,용강동,한식음식점,169,6,8,4.0,36
20242,11440590,CS100002,용강동,중식음식점,14,0,1,7.0,0
20242,11440590,CS100003,용강동,일식음식점,24,1,0,0.0,6
20242,11440590,CS100004,용강동,양식음식점,22,0,0,0.0,2
20242,11440590,CS100005,용강동,제과점,6,1,0,0.0,9
20242,11440590,CS100006,용강동,패스트푸드점,7,1,2,11.0,12
20242,11440590,CS100007,용강동,치킨전문점,5,1,2,14.0,9
20242,11440590,CS100008,용강동,분식전문점,12,0,0,0.0,8
20242,11440590,CS100010,용강동,커피-음료,53,3,6,8.0,21
20242,11440600,CS100002,대흥동,중식음식점,14,0,0,0.0,0
20242,11440600,CS100001,대흥동,한식음식점,108,5,2,2.0,15
20242,11440600,CS100006,대흥동,패스트푸드점,10,1,3,14.0,12
20242,11440600,CS100007,대흥동,치킨전문점,6,0,1,8.0,6
20242,11440600,CS100008,대흥동,분식전문점,27,0,3,8.0,12
20242,11440600,CS100009,대흥동,호프-간이주점,26,1,1,3.0,5
20242,11440600,CS100010,대흥동,커피-음료,75,5,6,6.0,22
20242,11440600,CS100005,대흥동,제과점,19,1,3,13.0,4
20242,11440600,CS100004,대흥동,양식음식점,18,1,0,0.0,4
20242,11440600,CS100003,대흥동,일식음식점,11,1,2,15.0,2
20242,11440610,CS100008,염리동,분식전문점,22,3,2,7.0,7
20242,11440610,CS100001,염리동,한식음식점,65,5,4,5.0,10
20242,11440610,CS100002,염리동,중식음식점,6,0,2,29.0,1
20242,11440610,CS100003,염리동,일식음식점,10,0,0,0.0,3
20242,11440610,CS100004,염리동,양식음식점,16,0,0,0.0,2
20242,11440610,CS100005,염리동,제과점,15,0,0,0.0,2
20242,11440610,CS100006,염리동,패스트푸드점,7,0,1,6.0,11
20242,11440610,CS100007,염리동,치킨전문점,4,1,0,0.0,7
20242,11440610,CS100009,염리동,호프-간이주점,14,0,1,6.0,2
20242,11440610,CS100010,염리동,커피-음료,41,4,2,4.0,15
20242,11440630,CS100004,신수동,양식음식점,13,1,2,14.0,1
20242,11440630,CS100010,신수동,커피-음료,47,4,3,6.0,5
