quarter,dong_code,dong_name,industry_code,industry_name,store_count,open_count,close_count,closure_rate
20242,11440640,연남동,CS100006,패스트푸드점,1.0,0.0,0.0,0.0
20242,11440640,연남동,CS100008,분식전문점,7.0,0.0,0.0,0.0
20242,11440640,연남동,CS100009,호프-간이주점,15.0,1.0,2.0,66.67
20242,11440640,연남동,CS100010,커피-음료,65.0,3.0,5.0,62.5
20242,11440640,연남동,CS200001,일반교습학원,4.0,0.0,0.0,0.0
20243,11440640,연남동,CS100001,한식음식점,12.0,0.0,0.0,0.0
20243,11440640,연남동,CS100002,중식음식점,3.0,0.0,1.0,100.0
20243,11440640,연남동,CS100003,일식음식점,11.0,1.0,0.0,0.0
20243,11440640,연남동,CS100004,양식음식점,13.0,2.0,0.0,0.0
20243,11440640,연남동,CS100005,제과점,18.0,1.0,1.0,50.0
20243,11440640,연남동,CS100006,패스트푸드점,1.0,0.0,0.0,0.0
20243,11440640,연남동,CS100008,분식전문점,9.0,2.0,0.0,0.0
20243,11440640,연남동,CS100009,호프-간이주점,16.0,1.0,0.0,0.0
20243,11440640,연남동,CS100010,커피-음료,61.0,2.0,6.0,75.0
20243,11440640,연남동,CS200001,일반교습학원,5.0,1.0,0.0,0.0
20244,11440640,연남동,CS100001,한식음식점,13.0,1.0,0.0,0.0
20244,11440640,연남동,CS100002,중식음식점,3.0,0.0,0.0,0.0
20244,11440640,연남동,CS100003,일식음식점,11.0,0.0,0.0,0.0
20244,11440640,연남동,CS100004,양식음식점,13.0,1.0,1.0,50.0
20244,11440640,연남동,CS100005,제과점,17.0,0.0,1.0,100.0
20244,11440640,연남동,CS100006,패스트푸드점,1.0,0.0,0.0,0.0
20244,11440640,연남동,CS100008,분식전문점,8.0,0.0,1.0,100.0
20244,11440640,연남동,CS100009,호프-간이주점,14.0,0.0,2.0,100.0
20244,11440640,연남동,CS100010,커피-음료,60.0,1.0,2.0,66.67
20244,11440640,연남동,CS200001,일반교습학원,6.0,1.0,0.0,0.0
20251,11440640,연남동,CS100001,한식음식점,13.0,0.0,0.0,0.0
20251,11440640,연남동,CS100002,중식음식점,3.0,0.0,0.0,0.0
20251,11440640,연남동,CS100003,일식음식점,11.0,0.0,0.0,0.0
20251,11440640,연남동,CS100004,양식음식점,12.0,0.0,1.0,100.0
20251,11440640,연남동,CS100005,제과점,17.0,1.0,1.0,50.0
20251,11440640,연남동,CS100006,패스트푸드점,1.0,0.0,0.0,0.0
20251,11440640,연남동,CS100008,분식전문점,8.0,0.0,0.0,0.0
20251,11440640,연남동,CS100009,호프-간이주점,13.0,0.0,1.0,100.0
20251,11440640,연남동,CS100010,커피-음료,60.0,2.0,2.0,50.0
20251,11440640,연남동,CS200001,일반교습학원,7.0,1.0,0.0,0.0
20252,11440640,연남동,CS100001,한식음식점,12.0,0.0,1.0,100.0
20252,11440640,연남동,CS100002,중식음식점,3.0,0.0,0.0,0.0
20252,11440640,연남동,CS100003,일식음식점,11.0,0.0,0.0,0.0
20252,11440640,연남동,CS100004,양식음식점,12.0,1.0,1.0,50.0
20252,11440640,연남동,CS100005,제과점,19.0,2.0,0.0,0.0
20252,11440640,연남동,CS100006,패스트푸드점,1.0,0.0,0.0,0.0
20252,11440640,연남동,CS100008,분식전문점,8.0,0.0,0.0,0.0
20252,11440640,연남동,CS100009,호프-간이주점,13.0,0.0,0.0,0.0
20252,11440640,연남동,CS100010,커피-음료,60.0,2.0,2.0,50.0
20252,11440640,연남동,CS200001,일반교습학원,7.0,0.0,0.0,0.0
20253,11440640,연남동,CS100001,한식음식점,14.0,2.0,0.0,0.0
20253,11440640,연남동,CS100002,중식음식점,2.0,0.0,1.0,100.0
20253,11440640,연남동,CS100003,일식음식점,10.0,0.0,2.0,100.0
20253,11440640,연남동,CS100004,양식음식점,13.0,1.0,0.0,0.0
20253,11440640,연남동,CS100005,제과점,18.0,0.0,1.0,100.0
20253,11440640,연남동,CS100006,패스트푸드점,1.0,0.0,0.0,0.0
20253,11440640,연남동,CS100008,분식전문점,8.0,2.0,2.0,50.0
20253,11440640,연남동,CS100009,호프-간이주점,11.0,1.0,3.0,75.0
20253,11440640,연남동,CS100010,커피-음료,60.0,5.0,6.0,54.55
20253,11440640,연남동,CS200001,일반교습학원,7.0,0.0,0.0,0.0
20254,11440640,연남동,CS100001,한식음식점,17.0,3.0,0.0,0.0
20254,11440640,연남동,CS100002,중식음식점,2.0,0.0,0.0,0.0
20254,11440640,연남동,CS100003,일식음식점,9.0,0.0,1.0,100.0
20254,11440640,연남동,CS100004,양식음식점,13.0,1.0,1.0,50.0
20254,11440640,연남동,CS100005,제과점,17.0,0.0,1.0,100.0
20254,11440640,연남동,CS100006,패스트푸드점,1.0,0.0,0.0,0.0
20254,11440640,연남동,CS100008,분식전문점,8.0,0.0,0.0,0.0
20254,11440640,연남동,CS100009,호프-간이주점,11.0,0.0,0.0,0.0
20254,11440640,연남동,CS100010,커피-음료,61.0,1.0,1.0,50.0
20254,11440640,연남동,CS200001,일반교습학원,7.0,0.0,0.0,0.0
20191,11440570,염리동,CS100001,한식음식점,1.0,0.0,1.0,100.0
20191,11440570,염리동,CS100002,중식음식점,1.0,0.0,0.0,0.0
20191,11440570,염리동,CS100010,커피-음료,2.0,0.0,0.0,0.0
20191,11440570,염리동,CS200001,일반교습학원,2.0,0.0,0.0,0.0
20191,11440570,염리동,CS200002,외국어학원,1.0,0.0,0.0,0.0
20192,11440570,염리동,CS100001,한식음식점,1.0,0.0,0.0,0.0
20192,11440570,염리동,CS100002,중식음식점,1.0,0.0,0.0,0.0
20192,11440570,염리동,CS100010,커피-음료,2.0,0.0,0.0,0.0
20192,11440570,염리동,CS200001,일반교습학원,2.0,0.0,0.0,0.0
20192,11440570,염리동,CS200002,외국어학원,1.0,0.0,0.0,0.0
20193,11440570,염리동,CS100001,한식음식점,1.0,0.0,0.0,0.0
20193,11440570,염리동,CS100002,중식음식점,1.0,0.0,0.0,0.0
20193,11440570,염리동,CS100010,커피-음료,2.0,0.0,0.0,0.0
20193,11440570,염리동,CS200001,일반교습학원,2.0,0.0,0.0,0.0
20193,11440570,염리동,CS200002,외국어학원,1.0,0.0,0.0,0.0
20194,11440570,염리동,CS100001,한식음식점,1.0,0.0,0.0,0.0
20194,11440570,염리동,CS100002,중식음식점,1.0,0.0,0.0,0.0
20194,11440570,염리동,CS100004,양식음식점,1.0,1.0,0.0,0.0
20194,11440570,염리동,CS100010,커피-음료,2.0,0.0,0.0,0.0
20194,11440570,염리동,CS200001,일반교습학원,2.0,0.0,0.0,0.0
20194,11440570,염리동,CS200002,외국어학원,1.0,0.0,0.0,0.0
20201,11440570,염리동,CS100001,한식음식점,1.0,0.0,0.0,0.0
20201,11440570,염리동,CS100002,중식음식점,1.0,0.0,0.0,0.0
20201,11440570,염리동,CS100004,양식음식점,1.0,0.0,0.0,0.0
20201,11440570,염리동,CS100010,커피-음료,2.0,0.0,0.0,0.0
20201,11440570,염리동,CS200001,일반교습학원,2.0,0.0,0.0,0.0
20201,11440570,염리동,CS200002,외국어학원,1.0,0.0,0.0,0.0
20202,11440570,염리동,CS100001,한식음식점,1.0,0.0,0.0,0.0
20202,11440570,염리동,CS100002,중식음식점,1.0,0.0,0.0,0.0
20202,11440570,염리동,CS100004,양식음식점,1.0,0.0,0.0,0.0
20202,11440570,염리동,CS100010,커피-음료,2.0,0.0,0.0,0.0
20202,11440570,염리동,CS200001,일반교습학원,2.0,0.0,0.0,0.0
20202,11440570,염리동,CS200002,외국어학원,1.0,0.0,0.0,0.0
20203,11440570,염리동,CS100001,한식음식점,1.0,0.0,0.0,0.0
20203,11440570,염리동,CS100002,중식음식점,1.0,0.0,0.0,0.0
20203,11440570,염리동,CS100003,일식음식점,0.0,0.0,0.0,0.0
20203,11440570,염리동,CS100004,양식음식점,1.0,0.0,0.0,0.0
20203,11440570,염리동,CS100008,분식전문점,0.0,0.0,0.0,0.0
20203,11440570,염리동,CS100009,호프-간이주점,0.0,0.0,0.0,0.0
20203,11440570,염리동,CS100010,커피-음료,2.0,0.0,0.0,0.0
20203,11440570,염리동,CS200001,일반교습학원,2.0,0.0,0.0,0.0
20203,11440570,염리동,CS200002,외국어학원,1.0,0.0,0.0,0.0
20204,11440570,염리동,CS100001,한식음식점,1.0,0.0,0.0,0.0
20204,11440570,염리동,CS100002,중식음식점,1.0,0.0,0.0,0.0
20204,11440570,염리동,CS100004,양식음식점,1.0,0.0,0.0,0.0
20204,11440570,염리동,CS100009,호프-간이주점,1.0,1.0,0.0,0.0
20204,11440570,염리동,CS100010,커피-음료,2.0,0.0,0.0,0.0
20204,11440570,염리동,CS200001,일반교습학원,2.0,0.0,0.0,0.0
20204,11440570,염리동,CS200002,외국어학원,1.0,0.0,0.0,0.0
20211,11440570,염리동,CS100001,한식음식점,1.0,0.0,0.0,0.0
20211,11440570,염리동,CS100002,중식음식점,1.0,0.0,0.0,0.0
20211,11440570,염리동,CS100004,양식음식점,1.0,0.0,0.0,0.0
20211,11440570,염리동,CS100009,호프-간이주점,1.0,0.0,0.0,0.0
20211,11440570,염리동,CS100010,커피-음료,2.0,0.0,0.0,0.0
20211,11440570,염리동,CS200001,일반교습학원,2.0,0.0,0.0,0.0
20211,11440570,염리동,CS200002,외국어학원,1.0,0.0,0.0,0.0
20212,11440570,염리동,CS100001,한식음식점,1.0,0.0,0.0,0.0
20212,11440570,염리동,CS100002,중식음식점,1.0,1.0,1.0,50.0
20212,11440570,염리동,CS100004,양식음식점,1.0,0.0,0.0,0.0
20212,11440570,염리동,CS100009,호프-간이주점,1.0,0.0,0.0,0.0
20212,11440570,염리동,CS100010,커피-음료,2.0,0.0,0.0,0.0
20212,11440570,염리동,CS200001,일반교습학원,3.0,1.0,0.0,0.0
20212,11440570,염리동,CS200002,외국어학원,1.0,0.0,0.0,0.0
20213,11440570,염리동,CS100001,한식음식점,1.0,0.0,0.0,0.0
20213,11440570,염리동,CS100002,중식음식점,1.0,0.0,0.0,0.0
20213,11440570,염리동,CS100004,양식음식점,1.0,0.0,0.0,0.0
20213,11440570,염리동,CS100009,호프-간이주점,1.0,0.0,0.0,0.0
20213,11440570,염리동,CS100010,커피-음료,2.0,0.0,0.0,0.0
20213,11440570,염리동,CS200001,일반교습학원,3.0,0.0,0.0,0.0
20213,11440570,염리동,CS200002,외국어학원,1.0,0.0,0.0,0.0
20214,11440570,염리동,CS100001,한식음식점,1.0,0.0,0.0,0.0
20214,11440570,염리동,CS100002,중식음식점,1.0,0.0,0.0,0.0
20214,11440570,염리동,CS100004,양식음식점,1.0,0.0,0.0,0.0
20214,11440570,염리동,CS100009,호프-간이주점,1.0,0.0,0.0,0.0
20214,11440570,염리동,CS100010,커피-음료,2.0,0.0,0.0,0.0
20214,11440570,염리동,CS200001,일반교습학원,3.0,0.0,0.0,0.0
20214,11440570,염리동,CS200002,외국어학원,1.0,0.0,0.0,0.0
20221,11440570,염리동,CS100001,한식음식점,1.0,0.0,0.0,0.0
20221,11440570,염리동,CS100002,중식음식점,1.0,0.0,0.0,0.0
20221,11440570,염리동,CS100004,양식음식점,1.0,0.0,0.0,0.0
20221,11440570,염리동,CS100009,호프-간이주점,1.0,0.0,0.0,0.0
20221,11440570,염리동,CS100010,커피-음료,2.0,0.0,0.0,0.0
20221,11440570,염리동,CS200001,일반교습학원,3.0,0.0,0.0,0.0
20221,11440570,염리동,CS200002,외국어학원,1.0,0.0,0.0,0.0
20222,11440570,염리동,CS100001,한식음식점,1.0,0.0,0.0,0.0
20222,11440570,염리동,CS100002,중식음식점,1.0,0.0,0.0,0.0
20222,11440570,염리동,CS100004,양식음식점,1.0,0.0,0.0,0.0
20222,11440570,염리동,CS100009,호프-간이주점,1.0,0.0,0.0,0.0
20222,11440570,염리동,CS100010,커피-음료,2.0,0.0,0.0,0.0
20222,11440570,염리동,CS200001,일반교습학원,3.0,0.0,0.0,0.0
20222,11440570,염리동,CS200002,외국어학원,1.0,0.0,0.0,0.0
20223,11440570,염리동,CS100001,한식음식점,1.0,0.0,0.0,0.0
20223,11440570,염리동,CS100002,중식음식점,1.0,0.0,0.0,0.0
20223,11440570,염리동,CS100004,양식음식점,1.0,0.0,0.0,0.0
20223,11440570,염리동,CS100009,호프-간이주점,1.0,0.0,0.0,0.0
20223,11440570,염리동,CS100010,커피-음료,2.0,0.0,0.0,0.0
20223,11440570,염리동,CS200001,일반교습학원,3.0,0.0,0.0,0.0
20223,11440570,염리동,CS200002,외국어학원,1.0,0.0,0.0,0.0
20224,11440570,염리동,CS100001,한식음식점,1.0,0.0,0.0,0.0
20224,11440570,염리동,CS100002,중식음식점,1.0,0.0,0.0,0.0
20224,11440570,염리동,CS100004,양식음식점,1.0,0.0,0.0,0.0
20224,11440570,염리동,CS100009,호프-간이주점,1.0,0.0,0.0,0.0
